Name,Value,Units,Notes
k_p1_deg,144,1/day,"Rate of endosomal epitope degradation (Chen 2014, PMID: 25184733)"
k_P1_on,144000,1/day/molarity,"Rate of antigen-MHC binding (Agrawal and Linderman 1996, PMID: 8944895)"
k_P1_d1,1e-08,molarity,"Antigen-MHC kd (Stone 2015, PMID: 25618219)"
p1_50,2.64550264550265e-05,molecule/micrometer^2,"calculated based on the number of molecules for half-maximal T cell activation (Kimachi 1997, PMID: 9464819) and synapse surface area"
P1_C1,5.4e-13,mole/cell,"Concentration of P1 in C1 (estimated by 2.7e6 proteins/um^3 in a cancer cell (Milo 2013, PMID: 24114984) * cancer cell volume / Avogadro constant)"
k_M1p1_TCR_on,1,1/(second*molecule/micrometer^2),"Rate of TCR binding to MHC-peptide complex (Lever 2014, PMID: 25145757)"
k_M1p1_TCR_off,1,1/second,"Rate of TCR unbinding from MHC-peptide complex (Lever 2014, PMID: 25145757)"
k_M1p1_TCR_p,1,1/second,"Rate of MHC-peptide-TCR complex modification (Lever 2014, PMID: 25145757)"
phi_M1p1_TCR,0.09,1/second,"Rate of MHC-peptide-TCR complex with maximal modification that leads to non-signaling(Lever 2014, PMID: 25145757)"
N_M1p1_TCR,10,dimensionless,"Number of modifcation steps for MHC-peptide-TCR complex (Lever 2014, PMID: 25145757)"
TCR_p1_tot,103.813080670361,molecule/micrometer^2,"Total number of TCR molecules per naive T cell calculated based on the number of molecules for TCR (Lever 2014, PMID: 25145757) and T cell surface area"
pTCR_p1_MHC_tot,0.00114589791859619,molecule/micrometer^2,"Total number of MHC-p1-TCR complexes of all different activation levels (see Rules)"
q_P_aPD1,8.8e-06,liter/second,"Capillary filtration rate of aPD1 between central and peripheral compartment(Bajaj 2017, PMID: 28019091)"
q_T_aPD1,8.52e-05,milliliter/second,"Capillary filtration rate of aPD1 between central and tumor compartment(Wang 2019, PMID: 31218069)"
q_LN_aPD1,3.25e-06,milliliter/second,"Capillary filtration rate of aPD1 between central and TDLN compartment(Meijer 2017, PMID: 28510992)"
q_LD_aPD1,0.0015,1/minute,"Rate of lymphatic drainage of aPD1 from TDLN to central compartment(Zhu 1996, PMID: 8706023)"
k_cl_aPD1,0.37,liter/day,"Clearance rate of aPD1 from central compartment(Bajaj 2017, PMID: 28019091)"
gamma_C_aPD1,0.61,dimensionless,"Volume fraction of interstitial space available to aPD1 in central compartment(Bajaj 2017, PMID: 28019091)"
gamma_P_aPD1,0.0452,dimensionless,"Volume fraction of interstitial space available to aPD1 in peripheral compartment(Bajaj 2017, PMID: 28019091)"
gamma_T_aPD1,0.522,dimensionless,"Volume fraction of interstitial space available to aPD1 in tumor compartment(Coughlin 2010, PMID: 20125040; Finley 2015, PMID: 26783500)"
gamma_LN_aPD1,0.2,dimensionless,"Volume fraction of interstitial space available to aPD1 in TDLN compartment(Wang 2019, PMID: 31218069)"
q_P_aPDL1,5.56e-06,liter/second,"Capillary filtration rate of aPDL1 between central and peripheral compartment(Baverel 2018, PMID: 29243223)"
q_T_aPDL1,8.52e-05,milliliter/second,"Capillary filtration rate of aPDL1 between central and tumor compartment(Wang 2019, PMID: 31218069)"
q_LN_aPDL1,3.25e-06,milliliter/second,"Capillary filtration rate of aPDL1 between central and TDLN compartment(Meijer 2017, PMID: 28510992)"
q_LD_aPDL1,0.0015,1/minute,"Rate of lymphatic drainage of aPDL1 from TDLN to central compartment(Zhu 1996, PMID: 8706023)"
k_cl_aPDL1,0.33,liter/day,"Clearance rate of aPDL1 from central compartment(Baverel 2018, PMID: 29243223)"
gamma_C_aPDL1,0.7,dimensionless,"Volume fraction of interstitial space available to aPDL1 in central compartment(Baverel 2018, PMID: 29243223)"
gamma_P_aPDL1,0.057,dimensionless,"Volume fraction of interstitial space available to aPDL1 in peripheral compartment(Baverel 2018, PMID: 29243223)"
gamma_T_aPDL1,0.522,dimensionless,"Volume fraction of interstitial space available to aPDL1 in tumor compartment(Coughlin 2010, PMID: 20125040; Finley 2015, PMID: 26783500)"
gamma_LN_aPDL1,0.2,dimensionless,"Volume fraction of interstitial space available to aPDL1 in TDLN compartment(Wang 2019, PMID: 31218069)"
k_cln_aPDL1,5.6,nanomole/day,"Non-linear clearance rate of aPDL1 from central compartment(fitted)"
Kc_aPDL1,1.69,nanomole/liter,"Half-maximal concentration of aPDL1 in central compartment for nonlinear clearance(fitted)"
q_P_aCTLA4,5.331e-06,liter/second,"Capillary filtration rate of aCTLA4 between central and peripheral compartment(Wang 2014, PMID: 24737343)"
q_T_aCTLA4,8.52e-05,milliliter/second,"Capillary filtration rate of aCTLA4 between central and tumor compartment(Wang 2019, PMID: 31218069)"
q_LN_aCTLA4,3.25e-06,milliliter/second,"Capillary filtration rate of aCTLA4 between central and TDLN compartment(Meijer 2017, PMID: 28510992)"
q_LD_aCTLA4,0.0015,1/minute,"Rate of lymphatic drainage of aCTLA4 from TDLN to central compartment(Zhu 1996, PMID: 8706023)"
k_cl_aCTLA4,0.3276,liter/day,"Clearance rate of aCTLA4 from central compartment(Wang 2014, PMID: 24737343)"
gamma_C_aCTLA4,0.794,dimensionless,"Volume fraction of interstitial space available to aCTLA4 in central compartment(Wang 2014, PMID: 24737343)"
gamma_P_aCTLA4,0.062,dimensionless,"Volume fraction of interstitial space available to aCTLA4 in peripheral compartment(Wang 2014, PMID: 24737343)"
gamma_T_aCTLA4,0.522,dimensionless,"Volume fraction of interstitial space available to aCTLA4 in tumor compartment(Coughlin 2010, PMID: 20125040; Finley 2015, PMID: 26783500)"
gamma_LN_aCTLA4,0.2,dimensionless,"Volume fraction of interstitial space available to aCTLA4 in TDLN compartment(Wang 2019, PMID: 31218069)"
kon_PD1_PDL1,0.06,1/(micromolarity*nanometer*second),"kon of PD1-PDL1 binding kon for PD1-PDL1 (Cheng 2013, PMID: 23417675)"
k_out_PDL1,50000,molecule/day,"Expression rate of PDL1 on tumor cells (Mimura 2018, PMID: 29034543)"
k_in_PDL1,1,1/day,"Degradation rate of PDL1 on tumor cells (Hsu 2018, PMID: 30442814)"
r_PDL1_IFNg,6,dimensionless,"Number of folds increase of PDL1 expression by IFNg (Shin 2017, PMID: 27903500)"
kon_PD1_PDL2,0.08,1/(micromolarity*nanometer*second),"kon of PD1-PDL2 binding (Cheng 2013, PMID: 23417675)"
kon_PD1_aPD1,670000,1/(molarity*second),"kon of PD1-aPD1 binding (Wang 2014, PMID: 24872026; Brown 2020, PMID: 32134960)"
kon_PDL1_aPDL1,430000,1/(molarity*second),"kon of PDL1-aPDL1 binding (Wang 2014, PMID: 24872026)"
kon_CD28_CD80,0.133333333333333,1/(micromolarity*nanometer*second),"kon of CD28-CD80 binding (van der Merwe 1997, PMID: 9053440)"
kon_CD28_CD86,0.466666666666667,1/(micromolarity*nanometer*second),"kon of CD28-CD86 binding (Collins 2002, PMID: 12196291)"
kon_CTLA4_CD80,0.333333333333333,1/(micromolarity*nanometer*second),"kon of CTLA4-CD80 binding (van der Merwe 1997, PMID: 9053440)"
kon_CTLA4_CD86,0.666666666666667,1/(micromolarity*nanometer*second),"kon of CTLA4-CD86 binding (Jansson 2005, PMID: 16034096; Collins 2002, PMID: 12196291)"
kon_CD80_PDL1,0.106666666666667,1/(micromolarity*nanometer*second),"kon of CD80-PDL1 binding (Cheng 2014, PMID: 23417675)"
kon_CTLA4_aCTLA4,383000,1/(molarity*second),"kon of CTLA4-aCTLA4 binding (Wang 2014, PMID: 24872026)"
kon_CD80_CD80,0.000196666666666667,1/(micromolarity*nanometer*second),"kon of CD80 self-association (Ikemizu 2000, PMID: 10661405)"
koff_PD1_PDL1,1.476,1/second,"koff of PD1-PDL1 binding calculated based on the measured kd and kon (Cheng 2013, PMID: 23417675)"
koff_PD1_PDL2,0.552,1/second,"koff of PD1-PDL2 binding calculated based on the measured kd and kon (Cheng 2013, PMID: 23417675)"
koff_PD1_aPD1,0.00268,1/second,"koff of PD1-aPD1 binding calculated based on the measured kd and kon (Wang 2014, PMID: 24872026; Brown 2020, PMID: 32134960)"
koff_PDL1_aPDL1,0.000172,1/second,"koff of PDL1-aPDL1 binding calculated based on the measured kd and kon (Wang 2014, PMID: 24872026)"
koff_CD28_CD80,1.6,1/second,"koff of CD28-CD80 binding calculated based on the measured kd and kon (van der Merwe 1997, PMID: 9053440)"
koff_CD28_CD86,28,1/second,"koff of CD28-CD86 binding calculated based on the measured kd and kon (Collins 2002, PMID: 12196291)"
koff_CTLA4_CD80,0.42,1/second,"koff of CTLA4-CD80 binding calculated based on the measured kd and kon (van der Merwe 1997, PMID: 9053440)"
koff_CTLA4_CD86,5.2,1/second,"koff of CTLA4-CD86 binding calculated based on the measured kd and kon (Jansson 2005, PMID: 16034096; Collins 2002, PMID: 12196291)"
koff_CD80_PDL1,6.016,1/second,"koff of CD80-PDL1 binding calculated based on the measured kd and kon (Cheng 2014, PMID: 23417675; Butte 2008, PMID: 18585785)"
koff_CTLA4_aCTLA4,0.0069706,1/second,"koff of CTLA4-aCTLA4 binding calculated based on the measured kd and kon (Wang 2014, PMID: 24872026)"
koff_CD80_CD80,0.01003,1/second,"koff of CD80 self-association calculated based on the measured kd and kon (Ikemizu 2000, PMID: 10661405)"
Chi_PD1_aPD1,33.3333330953227,1/nanometer,"Antibody cross-arm binding efficiency that also includes the conversion of kon from 3D to 2D (estimated based on Wang 2014, PMID: 24872026)"
Chi_PDL1_aPDL1,33.3333330953227,1/nanometer,"Antibody cross-arm binding efficiency that also includes the conversion of kon from 3D to 2D (Wang 2014, PMID: 24872026)"
