Name,Value,Units,Notes
H_ArgI_Treg,0.567686466628956,dimensionless,"Hill function for ariginase I-mediated Th-to-Treg transdifferentiation"
H_MDSC,0.529532458594048,dimensionless,"Hill function for overall effect of MDSC-mediated effect on Teff"
k_Mac_rec,175000,cell/(milliliter*day),"Recruitment rate of macrophage into tumor compartment (Yang 2018, PMID: 30026826)"
k_Mac_death,0.02,1/day,"Death rate of macrophages into tumor compartment (Ginhoux 2016, PMID: 26982352)"
k_TGFb_Msec,2e-11,nanomole/cell/day,"Secretion rate of TGFb by macrophage in tumor compartment (Matsuo 2000, PMID: 10652049)"
k_vas_Msec,1.7e-05,picogram/cell/day,"Secretion rate of angiogenic factor by macrophage in tumor compartment (Wu 2010, PMID: 20692534)"
k_IL12_sec,8.5e-12,nanomole/cell/day,"Secretion rate of IL-12 by mAPC in tumor compartment (Heufler 1996, PMID: 8605935)"
k_IL12_Msec,5e-13,nanomole/cell/day,"Secretion rate of IL-12 by macrophage in tumor compartment (Clough 2007, PMID: 17597818; Sica 2000, PMID: 10623821)"
k_IL12_deg,0.0231,1/hour,"Degradation rate of IL-12 in tumor compartment (Carreño 2000, PMID: 10707873)"
k_IL10_sec,3e-12,nanomole/cell/day,"Secretion rate of IL-10 by macrophage in tumor compartment (Autenshlyus 2021, PMID: 34059727)"
k_IL10_deg,4,1/day,"Degradation rate of IL-10 in tumor compartment (Saxena 2015, PMID: 25481648)"
k_M2_pol,0.1,1/day,"Rate of M1 to M2 macrophage polarization (estimated assuming that polarization takes roughly 2-3 days)"
k_M1_pol,0.05,1/day,"Rate of M2 to M1 macrophage polarization (estimated based on the M1/M2 ratio)"
IL10_50,8,picomolarity,"Half-maximal IL10 level for M1 to M2 polarization / maintaining Treg function / mAPC inhibition (*STAT6 related) (Altan-Bonnet 2019, PMID: 30770905)"
IL12_50,0.14,picomolarity,"Half-maximal IL-12 level for M2 to M1 macrophage polarization (Altan-Bonnet 2019, PMID: 30770905)"
IFNg_50,2.9,picomolarity,"Half-maximal IFNg level for M2 to M1 macrophage polarization (Altan-Bonnet 2019, PMID: 30770905)"
k_M1_phago,0.33,1/day,"Rate of M1 macrophage-mediated killing of cancer cell (Pan 2020, PMID: 33365025)"
vol_Mcell,4849.04826081585,micrometer^3/cell,"Volume of a single macrophage cell Volume of a macrophage calculated based on the average macrophage diameter (Krombach 1997, PMID: 9400735)"
kon_CD47_SIRPa,0.0625,1/(micromolarity*minute*nanometer),"kon of CD47-SIRPa binding (Hayes 2020, PMID: 31964705)"
koff_CD47_SIRPa,0.3,1/minute,"koff of CD47-SIRPa binding (Hayes 2020, PMID: 31964705)"
SIRPa_50,37,molecule/micrometer^2,"SIRPa occupancy for half-maximal CD47/SIRPa inhibition on phagocytosis of cancer cells by macrophages (Willingham 2012, PMID: 22451913)"
n_SIRPa,2,dimensionless,"Hill coefficient for CD47/SIRPa inhibition on phagocytosis of cancer cells by macrophages (estimated)"
H_Mac_C,0.878007597667037,dimensionless,"Hill function for overall checkpoint inhibition on phagocytosis of cancer cell by macrophage "
H_PD1_M,0.0034519814314228,dimensionless,"Hill function for PD1-mediated inhibition on phagocytosis of cancer cell by macrophage "
H_SIRPa,0.877585023441028,dimensionless,"Hill function for SIRPa-mediated inhibition on phagocytosis of cancer cell by macrophage "
C_CD47,406,molecule/micrometer^2,"CD47 expression on cancer cells (Morrissey 2020, PMID: 32768386)"
M_PD1_total,12500,molecule,"PD-1 expression on macrophages estimated based on PD-1 expression on T cell (Cheng 2014, PMID: 23417675; Mkrtichyan 2012, PMID: 22837483) and adjusted to fit its inhibitory effect on phagocytosis (Gordon 2017, PMID: 28514441)"
M_SIRPa,100,molecule/micrometer^2,"SIRPa expression on macrophages (Subramanian 2006, PMID: 16291597)"
A_Mcell,1385.4423602331,micrometer^2,"Surface area of the macrophage calculated based on the average macrophage diameter (Krombach 1997, PMID: 9400735)"
IL10_50_phago,270,picomolarity,"Half-maximal IL-10 level for phagocytosis by macrophage (Bian 2016, PMID: 27578867)"
K_Mac_C,2,dimensionless,"Association coefficient for macrophage and cancer cell (estimated)"
M_total,30368524.8381065,cell,"Total number of macrophages "
H_IL10,0.186049239661167,dimensionless,"Hill function for IL10-mediated M2-like macrophage polarization / Treg functionality / inhibition on Ag presentaion "
H_IL10_phago,0.00672704910581474,dimensionless,"Hill function for IL10-mediated inhibition on phagocytosis "
H_IL12,0.946306568228552,dimensionless,"Hill function for IL12 "
k_fib_rec,30,cell/(milliliter*day),"Fitted to 145 +- 9.38 cells/0.785 mm^2 PMID: 19289585"
k_fib_const,30,cell/milliliter,"Fitted to 145 +- 9.38 cells/0.785 mm^2 PMID: 19289585"
k_caf_tran,0.2,1/day,"Fitted to Ma 2022 single cell data"
k_ECM_fib_sec,6e-09,nanomole/cell/day,"See collagen_secretion_rates.md"
k_ECM_CAF_sec,2e-08,nanomole/cell/day,"See collagen_secretion_rates.md"
k_ECM_deg,0.035,1/day,"Hao et al. 10.1073/pnas.1413970111"
ECM_base,200000,nanomolarity,"Hao et al. 10.1073/pnas.1413970111 3.26e-3 (g/cm^3) * (1 mole/3e5 g) * (1e3 cm^3/L) *1e9 (mole/nmole)"
ECM_max,5000000,nanomolarity,"Hao et al. 10.1073/pnas.1413970111 3e-2 (g/cm^3) * /3e5 (g/mole)/1e3 (L/cm^3) *1e9 (mole/nmole)"
ECM_level,169349.107521379,nanomolarity,"initially assigned as ECM base level"
ECM_MW,300000,gram/mole,"(Estimated)"
ECM_density,1.2,gram/milliliter,"(Estimated)"
k_fib_death,0.0165,1/day,"death rate of normal fibroblast in tumor compartment (Hao 2015, PMID: 25225370)"
k_CAF_death,0.0165,1/day,"death rate of CAFs in tumor compartment (Hao 2015, PMID: 25225370)"
ECM_50_T_exh,1000000,nanomolarity,"half maximal concentration of ECM induced T cell exhausion(Fitted to Ma 2022 single cell data Texh fraction of all CD8+ T cell 15%)"
ECM_50_T_mot,500000,nanomolarity,"half maximal concentration of ECM induced reduced Cancer cell killing due to reduced T cell motility(Estimated)"
vol_Fibcell,1600,micrometer^3/cell,"Volume of a normal fibroblast cell https://doi.org/10.1016/B0-12-370879-6"
vol_CAFcell,1600,micrometer^3/cell,"Volume of a CAF cell https://doi.org/10.1016/B0-12-370879-6"
k_GVAX_clearance,0.35,1/day,"GVAX cell clearance rate from injection site"
V_ID_volume,0.0001,liter,"Volume of intradermal injection site (~0.1 mL)"
k_GMCSF_prod,1e-08,nanomolarity/cell/day,"GM-CSF production rate per GVAX cell per day"
k_GMCSF_deg,5.55,1/day,"GM-CSF degradation/clearance rate (half-life ~3 hours)"
k_APC_recruit_ID,10000,cell/day,"APC recruitment rate to intradermal injection site"
EC50_GMCSF,0.01,nanomolarity,"EC50 for GM-CSF-mediated APC recruitment and maturation"
k_APC_mature_ID,1,1/day,"APC maturation rate at injection site"
k_APC_mig_ID_LN,1,1/day,"APC migration rate from injection site to lymph nodes"
k_APC_death_ID,0.1,1/day,"APC death rate at injection site"
k_P1_uptake_ID,1e-09,1/(cell*day),"Antigen uptake rate by APCs at injection site"
EC50_P1_mature,1,nanomolarity,"EC50 for antigen-dependent APC maturation"
K_APC_ID,1000000,cell,""
k_APC_recruit0,100,cell/day,""
k_mAPC_death_ID,0.3,1/day,""
y_Ag_per_cell,1e-12,nanomole/cell,""
k_P1_deg_ID,0.5,1/day,""
K_mig,100000,cell,""
H_GMCSF_ID,0,dimensionless,""
