Parameter,Reaction,ReactionRate,Rule,RuleType,OtherParameters,OtherSpeciesWithNotes
A_cell,null -> syn_M_C.PDL1,k_in_PDL1*(C1_PDL1_base/A_cell-syn_M_C.PDL1_total),,,"['k_in_PDL1','C1_PDL1_base']","[{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C.PDL1_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL1 molecules ""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
A_cell,null -> syn_M_C.PDL1,k_out_PDL1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_M_C.PDL1_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell)),,,"['k_out_PDL1','r_PDL1_IFNg','C1_PDL1_base','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C.PDL1_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL1 molecules ""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
A_cell,null -> syn_M_C.PDL2,k_in_PDL1*(C1_PDL1_base/A_cell*r_PDL2C1-syn_M_C.PDL2_total),,,"['k_in_PDL1','C1_PDL1_base','r_PDL2C1']","[{""name"":""syn_M_C.PDL2"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_M_C.PDL2_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL2 molecules ""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
A_cell,null -> syn_M_C.PDL2,k_out_PDL1*r_PDL2C1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_M_C.PDL2_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell*r_PDL2C1)),,,"['k_out_PDL1','r_PDL1_IFNg','C1_PDL1_base','r_PDL2C1','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_M_C.PDL2"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_M_C.PDL2_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL2 molecules ""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
ArgI_50_Teff,,,H_ArgI_Teff = V_T.ArgI/(ArgI_50_Teff+V_T.ArgI),repeatedAssignment,"['H_ArgI_Teff']","[{""name"":""V_T.ArgI"",""compartment"":""V_T"",""notes"":""Concentration of Arg I in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
ArgI_50_Treg,,,H_ArgI_Treg = V_T.ArgI/(ArgI_50_Treg+V_T.ArgI),repeatedAssignment,"['H_ArgI_Treg']","[{""name"":""V_T.ArgI"",""compartment"":""V_T"",""notes"":""Concentration of Arg I in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
C1_CD80_total,,,syn_CD8_C1.CD80 = C1_CD80_total /A_cell,initialAssignment,"['A_cell']","[{""name"":""syn_CD8_C1.CD80"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD80 dimer in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_CD80_total,,,syn_M_C.CD80 = C1_CD80_total/A_cell,initialAssignment,"['A_cell']","[{""name"":""syn_M_C.CD80"",""compartment"":""syn_M_C"",""notes"":""concentration of CD80 in synapse""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
C1_CD86_total,,,syn_CD8_C1.CD86 = C1_CD86_total /A_cell,initialAssignment,"['A_cell']","[{""name"":""syn_CD8_C1.CD86"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of CD86 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,,,syn_CD8_C1.PDL1 = C1_PDL1_base /A_cell,initialAssignment,"['A_cell']","[{""name"":""syn_CD8_C1.PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,,,syn_CD8_C1.PDL2 = C1_PDL1_base*r_PDL2C1 /A_cell,initialAssignment,"['A_cell','r_PDL2C1']","[{""name"":""syn_CD8_C1.PDL2"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,,,syn_M_C.PDL1 = C1_PDL1_base /A_cell,initialAssignment,"['A_cell']","[{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,,,syn_M_C.PDL2 = C1_PDL1_base*r_PDL2C1 /A_cell,initialAssignment,"['A_cell','r_PDL2C1']","[{""name"":""syn_M_C.PDL2"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,null -> syn_CD8_C1.PDL1,k_in_PDL1*(C1_PDL1_base/A_cell-syn_CD8_C1_PDL1_total),,,"['A_cell','k_in_PDL1','syn_CD8_C1_PDL1_total']","[{""name"":""syn_CD8_C1.PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,null -> syn_CD8_C1.PDL1,k_out_PDL1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_C1_PDL1_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','syn_CD8_C1_PDL1_total','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_C1.PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,null -> syn_CD8_C1.PDL2,k_in_PDL1*(C1_PDL1_base/A_cell*r_PDL2C1-syn_CD8_C1_PDL2_total),,,"['A_cell','k_in_PDL1','r_PDL2C1','syn_CD8_C1_PDL2_total']","[{""name"":""syn_CD8_C1.PDL2"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,null -> syn_CD8_C1.PDL2,k_out_PDL1*r_PDL2C1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_C1_PDL2_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell*r_PDL2C1)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','r_PDL2C1','syn_CD8_C1_PDL2_total','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_C1.PDL2"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL2 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,null -> syn_M_C.PDL1,k_in_PDL1*(C1_PDL1_base/A_cell-syn_M_C.PDL1_total),,,"['A_cell','k_in_PDL1']","[{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C.PDL1_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL1 molecules ""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,null -> syn_M_C.PDL1,k_out_PDL1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_M_C.PDL1_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','IFNg_50_ind']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C.PDL1_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL1 molecules ""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
C1_PDL1_base,null -> syn_M_C.PDL2,k_in_PDL1*(C1_PDL1_base/A_cell*r_PDL2C1-syn_M_C.PDL2_total),,,"['A_cell','k_in_PDL1','r_PDL2C1']","[{""name"":""syn_M_C.PDL2"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_M_C.PDL2_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL2 molecules ""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
