Parameter,Reaction,ReactionRate,Rule,RuleType,OtherParameters,OtherSpeciesWithNotes
H_xpres,,,pTCR_p1_MHC_tot = k_M1p1_TCR_off/(k_M1p1_TCR_off+phi_M1p1_TCR)*(k_M1p1_TCR_p/(k_M1p1_TCR_off+k_M1p1_TCR_p))^N_M1p1_TCR*(0.5*((H_xpres)*(A_s.M1p1)/n_CD8_clones+TCR_p1_tot+k_M1p1_TCR_off/k_M1p1_TCR_on-TCR_p1_tot*sqrt((((H_xpres)*(A_s.M1p1)/n_CD8_clones+TCR_p1_tot+k_M1p1_TCR_off/k_M1p1_TCR_on)/TCR_p1_tot)^2-4*(H_xpres)*(A_s.M1p1)/n_CD8_clones/TCR_p1_tot))),repeatedAssignment,"['n_CD8_clones','k_M1p1_TCR_on','k_M1p1_TCR_off','k_M1p1_TCR_p','phi_M1p1_TCR','N_M1p1_TCR','TCR_p1_tot','pTCR_p1_MHC_tot']","[{""name"":""A_s.M1p1"",""compartment"":""A_s"",""notes"":""Antigen-MHC complex""},{""name"":""A_s"",""compartment"":""A_s"",""notes"":""APC surface comparment (Agrawal and Linderman 1996, PMID: 8944895)""}]"
IFNg_50,V_T.Mac_M2 -> V_T.Mac_M1,k_M1_pol*V_T.Mac_M2*(V_T.IL12/(V_T.IL12+IL12_50) + V_T.IFNg/(V_T.IFNg+IFNg_50)),,,"['k_M1_pol','IL12_50']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""V_T.IL12"",""compartment"":""V_T"",""notes"":""Concentration of IL-12 in tumor""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T.Mac_M2"",""compartment"":""V_T"",""notes"":""Number of M2 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
IFNg_50_ind,null -> syn_CD8_APC.PDL1,k_out_PDL1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_APC_PDL1_total/(APC_PDL1_base*r_PDL1_IFNg/A_cell)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','APC_PDL1_base','syn_CD8_APC_PDL1_total']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_APC.PDL1"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL1 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
IFNg_50_ind,null -> syn_CD8_APC.PDL2,k_out_PDL1*r_PDL2APC*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_APC_PDL2_total/(APC_PDL1_base*r_PDL1_IFNg/A_cell*r_PDL2APC)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','APC_PDL1_base','r_PDL2APC','syn_CD8_APC_PDL2_total']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_APC.PDL2"",""compartment"":""syn_CD8_APC"",""notes"":""concentration of PDL2 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_APC"",""compartment"":""syn_CD8_APC"",""notes"":""synapse comparment between CD8 and APC (Jansson 2005, PMID: 16034096)""}]"
IFNg_50_ind,null -> syn_CD8_C1.PDL1,k_out_PDL1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_C1_PDL1_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','C1_PDL1_base','syn_CD8_C1_PDL1_total']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_C1.PDL1"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL1 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
IFNg_50_ind,null -> syn_CD8_C1.PDL2,k_out_PDL1*r_PDL2C1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_CD8_C1_PDL2_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell*r_PDL2C1)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','C1_PDL1_base','r_PDL2C1','syn_CD8_C1_PDL2_total']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_CD8_C1.PDL2"",""compartment"":""syn_CD8_C1"",""notes"":""concentration of PDL2 in synapse""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_CD8_C1"",""compartment"":""syn_CD8_C1"",""notes"":""synapse comparment between CD8 and C1 (Jansson 2005, PMID: 16034096)""}]"
IFNg_50_ind,null -> syn_M_C.PDL1,k_out_PDL1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_M_C.PDL1_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','C1_PDL1_base']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_M_C.PDL1"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL1 in synapse""},{""name"":""syn_M_C.PDL1_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL1 molecules ""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
IFNg_50_ind,null -> syn_M_C.PDL2,k_out_PDL1*r_PDL2C1*V_T.IFNg/(V_T.IFNg+IFNg_50_ind)*(1-syn_M_C.PDL2_total/(C1_PDL1_base*r_PDL1_IFNg/A_cell*r_PDL2C1)),,,"['A_cell','k_out_PDL1','r_PDL1_IFNg','C1_PDL1_base','r_PDL2C1']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""syn_M_C.PDL2"",""compartment"":""syn_M_C"",""notes"":""concentration of PDL2 in synapse""},{""name"":""syn_M_C.PDL2_total"",""compartment"":""syn_M_C"",""notes"":""concentration of bound and unbound PDL2 molecules ""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""},{""name"":""syn_M_C"",""compartment"":""syn_M_C"",""notes"":""synapse comparment between macrophage and cancer cell (Jansson 2005, PMID: 16034096)""}]"
IL10_50,,,H_IL10 = V_T.IL10/(IL10_50+V_T.IL10),repeatedAssignment,"['H_IL10']","[{""name"":""V_T.IL10"",""compartment"":""V_T"",""notes"":""Concentration of IL-10 in tumor""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
IL10_50,V_T.Mac_M1 -> V_T.Mac_M2,k_M2_pol*V_T.Mac_M1*(V_T.TGFb/(V_T.TGFb+TGFb_50) + V_T.IL10/(V_T.IL10+IL10_50)),,,"['TGFb_50','k_M2_pol']","[{""name"":""V_T.IL10"",""compartment"":""V_T"",""notes"":""Concentration of IL-10 in tumor""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T.Mac_M2"",""compartment"":""V_T"",""notes"":""Number of M2 macrophage in the tumor compartment""},{""name"":""V_T.TGFb"",""compartment"":""V_T"",""notes"":""TGFb in the tumor comparment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
IL10_50_phago,,,H_IL10_phago = V_T.IL10/(IL10_50_phago+V_T.IL10),repeatedAssignment,"['H_IL10_phago']","[{""name"":""V_T.IL10"",""compartment"":""V_T"",""notes"":""Concentration of IL-10 in tumor""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
IL12_50,,,H_IL12 = V_T.IL12/(IL12_50+V_T.IL12),repeatedAssignment,"['H_IL12']","[{""name"":""V_T.IL12"",""compartment"":""V_T"",""notes"":""Concentration of IL-12 in tumor""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
IL12_50,V_T.Mac_M2 -> V_T.Mac_M1,k_M1_pol*V_T.Mac_M2*(V_T.IL12/(V_T.IL12+IL12_50) + V_T.IFNg/(V_T.IFNg+IFNg_50)),,,"['k_M1_pol','IFNg_50']","[{""name"":""V_T.IFNg"",""compartment"":""V_T"",""notes"":""IFNg in the tumor comparment""},{""name"":""V_T.IL12"",""compartment"":""V_T"",""notes"":""Concentration of IL-12 in tumor""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T.Mac_M2"",""compartment"":""V_T"",""notes"":""Number of M2 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
IL2_50,,,N_aT = N0 + N_costim*H_CD28_APC + N_IL2_CD8*V_LN.IL2/(IL2_50+V_LN.IL2),repeatedAssignment,"['H_CD28_APC','N0','N_costim','N_IL2_CD8','N_aT']","[{""name"":""V_LN.IL2"",""compartment"":""V_LN"",""notes"":""Concentration of IL2 in the lymph node compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
IL2_50,,,N_aT0 = N0 + N_costim*H_CD28_APC + N_IL2_CD4*V_LN.IL2/(IL2_50+V_LN.IL2),repeatedAssignment,"['H_CD28_APC','N0','N_costim','N_IL2_CD4','N_aT0']","[{""name"":""V_LN.IL2"",""compartment"":""V_LN"",""notes"":""Concentration of IL2 in the lymph node compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
IL2_50,,,N_aTh = N0 + N_costim*H_CD28_APC + N_IL2_CD4*V_LN.IL2/(IL2_50+V_LN.IL2),repeatedAssignment,"['H_CD28_APC','N0','N_costim','N_IL2_CD4','N_aTh']","[{""name"":""V_LN.IL2"",""compartment"":""V_LN"",""notes"":""Concentration of IL2 in the lymph node compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
IL2_50,V_LN.IL2 -> null,w_IL2_CD8*k_IL2_cons*V_LN.CD8*V_LN.IL2/(IL2_50+V_LN.IL2),,,"['k_IL2_cons','w_IL2_CD8']","[{""name"":""V_LN.CD8"",""compartment"":""V_LN"",""notes"":""Number of CD8 cells in the lymph node compartment""},{""name"":""V_LN.IL2"",""compartment"":""V_LN"",""notes"":""Concentration of IL2 in the lymph node compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
IL2_50_Treg,V_LN.IL2 -> null,w_IL2_Treg*k_IL2_cons*V_LN.Treg*V_LN.IL2/(IL2_50_Treg+V_LN.IL2),,,"['k_IL2_cons','w_IL2_Treg']","[{""name"":""V_LN.IL2"",""compartment"":""V_LN"",""notes"":""Concentration of IL2 in the lymph node compartment""},{""name"":""V_LN.Treg"",""compartment"":""V_LN"",""notes"":""Number of Treg cells in the lymph node compartment""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
K_Mac_C,,,R_Tcell = 0*cell/day+(k_C1_death+k_C1_therapy)*V_T.C1+k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)+k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),repeatedAssignment,"['cell','day','C_total','R_Tcell','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','k_C_CD8','H_ECM_T_mot','K_T_C','K_T_Treg','H_TGFb_Teff','k_M1_phago','H_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_Mac_C,V_T.C1 -> V_T.C_x,k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),,,"['cell','C_total','k_M1_phago','H_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.C_x"",""compartment"":""V_T"",""notes"":""Dead cancer cells in the tumour compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_C,,,R_Tcell = 0*cell/day+(k_C1_death+k_C1_therapy)*V_T.C1+k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)+k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),repeatedAssignment,"['cell','day','C_total','R_Tcell','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','k_C_CD8','H_ECM_T_mot','K_T_Treg','H_TGFb_Teff','k_M1_phago','H_Mac_C','K_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_C,V_T.C1 -> V_T.C_x,k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C_CD8','H_ECM_T_mot','K_T_Treg','H_TGFb_Teff']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.C_x"",""compartment"":""V_T"",""notes"":""Dead cancer cells in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_C,null -> V_T.P0,n_Treg_clones*(P0_C1*(k_C1_death+k_C1_therapy)*C1+P0_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','n_Treg_clones','k_C_CD8','H_ECM_T_mot','K_T_Treg','P0_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P0"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P0) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_C,null -> V_T.P1,n_CD8_clones*(P1_C1*(k_C1_death+k_C1_therapy)*C1+P1_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','n_CD8_clones','k_C_CD8','H_ECM_T_mot','K_T_Treg','P1_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P1"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P1) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_Treg,,,R_Tcell = 0*cell/day+(k_C1_death+k_C1_therapy)*V_T.C1+k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)+k_M1_phago*V_T.C1*V_T.Mac_M1/(V_T.Mac_M1+K_Mac_C*C_total+cell)*(1-H_Mac_C)*(1-H_IL10_phago),repeatedAssignment,"['cell','day','C_total','R_Tcell','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','k_C_CD8','H_ECM_T_mot','K_T_C','H_TGFb_Teff','k_M1_phago','H_Mac_C','K_Mac_C','H_IL10_phago']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.Mac_M1"",""compartment"":""V_T"",""notes"":""Number of M1 macrophage in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_Treg,V_T.C1 -> V_T.C_x,k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C_CD8','H_ECM_T_mot','K_T_C','H_TGFb_Teff']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.C_x"",""compartment"":""V_T"",""notes"":""Dead cancer cells in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_Treg,null -> V_T.P0,n_Treg_clones*(P0_C1*(k_C1_death+k_C1_therapy)*C1+P0_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','n_Treg_clones','k_C_CD8','H_ECM_T_mot','K_T_C','P0_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P0"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P0) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_T_Treg,null -> V_T.P1,n_CD8_clones*(P1_C1*(k_C1_death+k_C1_therapy)*C1+P1_C1*k_C_CD8*V_T.C1*V_T.CD8/(K_T_C*C_total+V_T.CD8+cell)*V_T.CD8/(V_T.CD8+K_T_Treg*Tregs_+cell)*(1-H_PD1_C1)*(1-H_MDSC)*(1-H_TGFb_Teff)*(1-H_ECM_T_mot)),,,"['cell','C_total','Tregs_','H_PD1_C1','k_C1_death','k_C1_therapy','n_CD8_clones','k_C_CD8','H_ECM_T_mot','K_T_C','P1_C1','H_TGFb_Teff','H_MDSC']","[{""name"":""V_T.C1"",""compartment"":""V_T"",""notes"":""Number of cancer cells in tumor""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.P1"",""compartment"":""V_T"",""notes"":""Concentration of  free antigen (P1) in the LN compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
K_nCD8_pro,null -> V_LN.nCD8,k_nCD8_pro/div_CD8*V_LN.nCD8/(K_nCD8_pro/div_CD8+V_LN.nCD8),,,"['div_CD8','k_nCD8_pro']","[{""name"":""V_LN.nCD8"",""compartment"":""V_LN"",""notes"":""Number of naive CD8 cells in the lymph node""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
K_nCD8_pro,null -> V_P.nCD8,k_nCD8_pro/div_CD8*V_P.nCD8/(K_nCD8_pro/div_CD8+V_P.nCD8),,,"['div_CD8','k_nCD8_pro']","[{""name"":""V_P.nCD8"",""compartment"":""V_P"",""notes"":""Number of naive CD8 cells in the peripheral compartment""},{""name"":""V_P"",""compartment"":""V_P"",""notes"":""Peripheral compartment (P) (estimated)""}]"
K_nTreg_pro,null -> V_LN.nTreg,k_nTreg_pro/div_Treg*V_LN.nTreg/(K_nTreg_pro/div_Treg+V_LN.nTreg),,,"['div_Treg','k_nTreg_pro']","[{""name"":""V_LN.nTreg"",""compartment"":""V_LN"",""notes"":""Number of naive Treg cells in the lymph node""},{""name"":""V_LN"",""compartment"":""V_LN"",""notes"":""Lymph node (LN) compartment volume Volume of lumped tumor-draining lymph nodes calculated based on number of LNs (estimated) and average LN diameter (Schmidt 2007, PMID: 17724531)""}]"
K_nTreg_pro,null -> V_P.nTreg,k_nTreg_pro/div_Treg*V_P.nTreg/(K_nTreg_pro/div_Treg+V_P.nTreg),,,"['div_Treg','k_nTreg_pro']","[{""name"":""V_P.nTreg"",""compartment"":""V_P"",""notes"":""Number of naive Treg cells in the peripheral compartment""},{""name"":""V_P"",""compartment"":""V_P"",""notes"":""Peripheral compartment (P) (estimated)""}]"
Kc_aPDL1,V_C.aPDL1 -> null,k_cln_aPDL1*V_C.aPDL1/(V_C.aPDL1+Kc_aPDL1),,,"['k_cln_aPDL1']","[{""name"":""V_C.aPDL1"",""compartment"":""V_C"",""notes"":""Concentration of aPDL1 in central compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""}]"
Kc_rec,V_C.CD8 -> V_T.CD8,q_CD8_T_in*V_T*V_C.CD8*(C_total^2/(C_total^2+Kc_rec)),,,"['C_total','q_CD8_T_in']","[{""name"":""V_C.CD8"",""compartment"":""V_C"",""notes"":""Number of CD8 cells in the central compartment""},{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
Kc_rec,V_C.Th -> V_T.Th,q_Treg_T_in*V_T*V_C.Th*(C_total^2/(C_total^2+Kc_rec)),,,"['C_total','q_Treg_T_in']","[{""name"":""V_C.Th"",""compartment"":""V_C"",""notes"":""Number of Th cells in the central compartment""},{""name"":""V_T.Th"",""compartment"":""V_T"",""notes"":""Number of Th cells in the tumor compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
Kc_rec,V_C.Treg -> V_T.Treg,q_Treg_T_in*V_T*V_C.Treg*(C_total^2/(C_total^2+Kc_rec)),,,"['C_total','q_Treg_T_in']","[{""name"":""V_C.Treg"",""compartment"":""V_C"",""notes"":""Number of Treg cells in the central compartment""},{""name"":""V_T.Treg"",""compartment"":""V_T"",""notes"":""Number of Treg cells in the tumor compartment""},{""name"":""V_C"",""compartment"":""V_C"",""notes"":""Central compartment (C) (estimated)""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
Kc_rec,V_T.CAF -> null,k_cell_clear*V_T.CAF*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','C_total']","[{""name"":""V_T.CAF"",""compartment"":""V_T"",""notes"":""Number of CAFs in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
Kc_rec,V_T.CD8 -> V_T.CD8_exh,k_cell_clear*V_T.CD8*(Kc_rec/(C_total^2+Kc_rec)),,,"['k_cell_clear','C_total']","[{""name"":""V_T.CD8"",""compartment"":""V_T"",""notes"":""Number of CD8 cells in the tumor compartment""},{""name"":""V_T.CD8_exh"",""compartment"":""V_T"",""notes"":""Exhausted CD8 effector T cells""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
Kc_rec,V_T.Fib -> null,k_cell_clear*V_T.Fib*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','C_total']","[{""name"":""V_T.Fib"",""compartment"":""V_T"",""notes"":""Number of normal fibroblast in the tumor compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
Kc_rec,V_T.MDSC -> null,k_cell_clear*V_T.MDSC*(Kc_rec/(C_total^2 + Kc_rec)),,,"['k_cell_clear','C_total']","[{""name"":""V_T.MDSC"",""compartment"":""V_T"",""notes"":""Number of MDSCs in the tumour compartment""},{""name"":""V_T"",""compartment"":""V_T"",""notes"":""Tumor compartment (T) (estimated)""}]"
